ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8350327749453751,0.80094145065805,0.3678724708767627,0.646551724137931,0.46893317702227433,0.40108374113193157
XGBoost,0.9019179412478757,0.8034678080333978,0.6388888888888888,0.2974137931034483,0.40588235294117647,0.3915621658427986
KNN,0.8971837824714737,0.7440191754328035,0.5838509316770186,0.30387931034482757,0.3997165131112686,0.37194533230817917
Random Forest,0.8947560087399854,0.7797993124675692,0.5658747300215983,0.2823275862068966,0.3767074047447879,0.34981969052018386
Decision Tree,0.8470502549162418,0.6222374876173404,0.32452431289640593,0.3308189655172414,0.327641408751334,0.24137501776047923
Naive Bayes,0.8976693372177713,0.6801583358884854,0.6470588235294118,0.20150862068965517,0.3073130649137223,0.3222971458261065
